org,dest,km_linear,km_rota
1100015,2603702,2863.9442550860476,4141.0
1100015,2603926,2593.7364179136116,4090.0
1100015,2604205,2915.298090139747,4197.0
1100015,2604502,2953.781952256955,4279.0
1100015,2604601,3008.9939444096804,4377.0
1100015,2605152,2391.303358261329,3779.0
1100015,2605301,2509.4758599300912,3990.0
1100015,2605459,3401.2951994167543,4650.0
1100015,2605905,2953.2314923098256,4217.0
1100015,2606101,2971.8559689089057,4354.0
1100015,2606507,2784.4119585207027,4083.0
1100015,2606804,3019.0222165446658,4330.0
1100015,2608206,2936.9759103894753,4196.0
1100015,2608602,2827.965634557238,4079.0
1100015,2608800,2855.951605998296,4141.0
1100015,2609105,2961.0764380520527,4395.0
1100015,2609154,2717.423672973039,3969.0
