Município - UF;COD mun
Jacuipe - AL;2703502
Santa Barbara do Sul - RS;4316709
Balneario Gaivota - SC;4202073
Varzea Grande - MT;5108402
Santa Rita do Oeste - SP;3547403
Americana - SP;3501608
Sombrio - SC;4217709
Cantanhede - MA;2102705
Sao Joao dAlianca - GO;5220009
Sertaozinho - SP;3551702
Capitao Leonidas Marques - PR;4104600
Caiua - SP;3509106
Senador Guiomard - AC;1200450
Sao Sebastiao do Cai - RS;4319505
Presidente Alves - SP;3541109
Sao Carlos - SC;4216008
Bela Vista - MS;5002100
Campo Belo do Sul - SC;4203402
Barauna - PB;2501534
Bugre - MG;3109253
Divinesia - MG;3121902
Virgolandia - MG;3171907
Lajes - RN;2406700
Agua Branca - AL;2700102
Coroata - MA;2103604
Vitoria do Mearim - MA;2112902
Sao Jose do Norte - RS;4318507
Taperoa - PB;2516508
Aracatu - BA;2902005
Soledade - PB;2516102
Irati - SC;4207858
Coruripe - AL;2702306
Caxias - MA;2103000
Barra Funda - RS;4301958
Mesquita - RJ;3302858
Santa Rosa de Goias - GO;5219506
Coluna - MG;3116803
Paulo Frontin - PR;4118709
Novo Acordo - TO;1715101
Palhano - CE;2310001
Sao Jose de Princesa - PB;2514552
Estancia - SE;2802106
Tapira - MG;3168101
Tupa - SP;3555000
Moraujo - CE;2308807
Sao Pedro da Aldeia - RJ;3305208
Serra da Saudade - MG;3166600
Sao Mateus do Sul - PR;4125605
Corupa - SC;4204509
Cotriguacu - MT;5103379
Catende - PE;2604205
Governador Lindenberg - ES;3202256
Conego Marinho - MG;3117836
Baixa Grande - BA;2902609
Monteiro - PB;2509701
Mara Rosa - GO;5212808
Taguatinga - TO;1720903
Anhembi - SP;3502309
Paulo Ramos - MA;2108108
Bom Jesus do Amparo - MG;3107703
Tangua - RJ;3305752
Manga - MG;3139300
Independencia - RS;4310405
Jacinto - MG;3134707
Sao Joao del Rei - MG;3162500
Agua Fria de Goias - GO;5200175
Iguaracu - PR;4110003
Terra Nova - PE;2615201
Rochedo de Minas - MG;3156205
Sao Vendelino - RS;4319752
Cachoeira de Goias - GO;5204201
Machados - PE;2609105
Antonio Prado - RS;4300802
Tupiratins - TO;1721307
Fazenda Vilanova - RS;4308078
Mangaratiba - RJ;3302601
Edeia - GO;5207402
Una - BA;2932507
Itaituba - PA;1503606
Lencois - BA;2919306
Cachoeirinha - TO;1703826
Leopoldo de Bulhoes - GO;5212303
Santa Rosa de Viterbo - SP;3547601
Santana do Manhuacu - MG;3158904
Candeias - MG;3112000
Altinho - PE;2600807
Barra dos Coqueiros - SE;2800605
Sao Joao - PE;2613206
Boa Hora - PI;2201770
Olimpio Noronha - MG;3145505
Santo Antonio do Aventureiro - MG;3160009
Itatuba - PB;2507200
Silveirania - MG;3167301
Itirucu - BA;2916906
Santa Luzia d'Oeste - RO;1100296
Comercinho - MG;3117009
Barro Duro - PI;2201408
Bananal - SP;3504909
Japaratuba - SE;2803302
Tangara - SC;4217907
Oliveira dos Brejinhos - BA;2923209
Votorantim - SP;3557006
Palmeirais - PI;2207504
Zortea - SC;4219853
Dom Feliciano - RS;4306502
Morro da Garca - MG;3143609
Itapiuna - CE;2306504
Milagres - BA;2921302
Wall Ferraz - PI;2211704
Palmeiras de Goias - GO;5215702
Guatambu - SC;4206652
Uirauna - PB;2516904
Guarapuava - PR;4109401
Coronel Martins - SC;4204459
Perola - PR;4118907
Ceu Azul - PR;4105300
Marianopolis do Tocantins - TO;1712504
Sao Martinho - RS;4319109
Alterosa - MG;3102001
Inhumas - GO;5210000
Varjao de Minas - MG;3170750
Eugenopolis - MG;3124906
Sao Geraldo do Araguaia - PA;1507458
Piacatu - SP;3537701
Bonfinopolis de Minas - MG;3108206
Paraguacu - MG;3147204
Sao Jose do Sul - RS;4318614
Barra de Santa Rosa - PB;2501609
Agronomica - SC;4200309
Conceicao do Rio Verde - MG;3117702
Ilha Solteira - SP;3520442
Aguas Mornas - SC;4200606
Brejetuba - ES;3201159
Amparo de Sao Francisco - SE;2800100
Jequitai - MG;3135605
Nortelandia - MT;5106000
Sao Miguel das Matas - BA;2929404
Buenos Aires - PE;2602704
Petrolandia - PE;2611002
Vila Bela da Santissima Trindade - MT;5105507
Delmiro Gouveia - AL;2702405
Mesopolis - SP;3529658
Guamiranga - PR;4108957
Pouso Redondo - SC;4213708
Miranda - MS;5005608
Guarda-Mor - MG;3128600
Frecheirinha - CE;2304509
Trabiju - SP;3554755
Palmeira d'Oeste - SP;3535200
Lapa - PR;4113205
Cajueiro - AL;2701308
Silvianopolis - MG;3167400
Santa Barbara do Tugurio - MG;3157302
Porto Belo - SC;4213500
Sao Joao do Arraial - PI;2209971
Lagoa Alegre - PI;2205557
Rio Verde de Mato Grosso - MS;5007406
Campo do Brito - SE;2801009
Rio do Campo - SC;4214508
Jose de Freitas - PI;2205508
Mirassol - SP;3530300
Campo Grande - AL;2701506
Montenegro - RS;4312401
Formosa da Serra Negra - MA;2104099
Nantes - SP;3532157
Matias Olimpio - PI;2206100
Porto Vera Cruz - RS;4315073
Nova Aurora - PR;4116703
Capinopolis - MG;3112604
Colombia - SP;3512100
Dormentes - PE;2605152
Paranaiba - MS;5006309
Pau d'Arco - TO;1716307
Campos Altos - MG;3111507
Saltinho - SP;3545159
Cambara - PR;4103602
Peritoro - MA;2108454
Itaiopolis - SC;4208104
Telemaco Borba - PR;4127106
Pitangui - MG;3151404
Rio Bom - PR;4122107
Espigao dOeste - RO;1100098
Bom Jesus do Sul - PR;4103156
Salete - SC;4215307
Antonio Martins - RN;2400901
Pau dos Ferros - RN;2409407
Santa Rita do Araguaia - GO;5219407
Jauru - MT;5105002
Anastacio - MS;5000708
Marcelino Vieira - RN;2407302
Sao Joao da Lagoa - MG;3162252
Leoberto Leal - SC;4209805
Recreio - MG;3154101
Boa Viagem - CE;2302404
Cabralia Paulista - SP;3508306
Mirandopolis - SP;3530102
Sertaneja - PR;4126405
Santo Antonio do Ica - AM;1303700
Itaju - SP;3522000
Lagoa Salgada - RN;2406601
Sao Lourenco do Sul - RS;4318804
Baia da Traicao - PB;2501401
Governador Jorge Teixeira - RO;1101005
Igarape - MG;3130101
Nova Olinda do Maranhao - MA;2107357
Figueiropolis - TO;1707652
Lauro de Freitas - BA;2919207
Agudos do Sul - PR;4100301
Castilho - SP;3511003
Paverama - RS;4314159
Maribondo - AL;2704807
Palmital - SP;3535309
Moncao - MA;2106904
Sao Joao do Sul - SC;4216404
Sao Joao do Ivai - PR;4125001
Vila Boa - GO;5222203
